Primary_Language,Secondary_Language,Lang_3,Lang_4,Lang_5,Lang_6,framework,Best_fit_Job
C/C++,JavaScript,SQL,,PHP,Java,None,Database Administrator
JavaScript,,,,,,React,Front-End Developer
Java,,,,C#,,React,Mobile App Developer (Android)
C#,JavaScript,,C/C++,,,None,Game Developer
C/C++,Swift,HTML/CSS,,Python,,React,Mobile App Developer (iOS)
Java,HTML/CSS,Kotlin,,,,None,Mobile App Developer (Android)
Java,SQL,,C#,,,None,Mobile App Developer (Android)
Java,Python,,,Kotlin,JavaScript,React,Mobile App Developer (Android)
C#,PHP,JavaScript,Swift,,Kotlin,React,Mobile App Developer (iOS)
C/C++,Kotlin,JavaScript,,,Python,React,Mobile App Developer (Android)
JavaScript,Python,Java,,,,React,Front-End Developer
Java,PHP,HTML/CSS,,,,React,Mobile App Developer (Android)
C#,Swift,,Python,JavaScript,SQL,React,Mobile App Developer (iOS)
C/C++,Python,Kotlin,JavaScript,,,None,Mobile App Developer (Android)
JavaScript,Swift,,,C#,C/C++,None,Mobile App Developer (iOS)
JavaScript,Java,,,C#,,React,Front-End Developer
C/C++,Python,,HTML/CSS,,,None,Game Developer
C/C++,HTML/CSS,,C#,,,None,Game Developer
Python,Swift,PHP,,C#,,None,Mobile App Developer (iOS)
C#,PHP,,Swift,JavaScript,,None,Mobile App Developer (iOS)
JavaScript,C/C++,,Swift,SQL,,None,Mobile App Developer (iOS)
Java,C/C++,,JavaScript,,,React,Mobile App Developer (Android)
Python,Swift,,,Kotlin,,React,Mobile App Developer (iOS)
JavaScript,C#,SQL,,Java,,None,Database Administrator
C/C++,PHP,,,,,None,Game Developer
C/C++,Swift,,C#,,,None,Mobile App Developer (iOS)
Python,SQL,Swift,,HTML/CSS,PHP,React,Mobile App Developer (iOS)
JavaScript,PHP,,,Python,,React,Front-End Developer
Java,PHP,HTML/CSS,Python,,,React,Mobile App Developer (Android)
Java,C/C++,PHP,,,,React,Mobile App Developer (Android)
Java,JavaScript,,,C/C++,PHP,React,Mobile App Developer (Android)
C#,HTML/CSS,,,SQL,C/C++,None,Database Administrator
C#,JavaScript,,,HTML/CSS,,None,Game Developer
Python,JavaScript,,,Java,,None,Cybersecurity Analyst
C/C++,PHP,,Kotlin,,Swift,None,Mobile App Developer (iOS)
C/C++,HTML/CSS,JavaScript,,,,None,Game Developer
JavaScript,Kotlin,Swift,,,,None,Mobile App Developer (iOS)
Python,,,,JavaScript,Swift,None,Mobile App Developer (iOS)
C/C++,HTML/CSS,,,,,None,Game Developer
Java,,Swift,,,C/C++,React,Mobile App Developer (iOS)
Python,JavaScript,PHP,C#,,,None,Cybersecurity Analyst
Python,SQL,,,JavaScript,Kotlin,None,Mobile App Developer (Android)
C/C++,,Python,,Java,JavaScript,None,Game Developer
C/C++,Java,C#,,,SQL,None,Database Administrator
Java,Swift,,,HTML/CSS,,None,Mobile App Developer (iOS)
JavaScript,C#,,Python,,HTML/CSS,React,Front-End Developer
C/C++,JavaScript,,Kotlin,,,React,Mobile App Developer (Android)
Python,SQL,,,JavaScript,,None,Database Administrator
Python,JavaScript,,,,,None,Cybersecurity Analyst
Python,SQL,,,C#,,None,Database Administrator
C/C++,JavaScript,Kotlin,PHP,Java,,None,Mobile App Developer (Android)
C#,Kotlin,Python,,,,None,Mobile App Developer (Android)
Java,,SQL,,HTML/CSS,,None,Mobile App Developer (Android)
C/C++,Java,Python,JavaScript,,,None,Game Developer
C/C++,SQL,,Swift,,JavaScript,None,Mobile App Developer (iOS)
C/C++,SQL,Kotlin,,Python,Swift,React,Mobile App Developer (iOS)
JavaScript,Kotlin,,C/C++,PHP,,None,Mobile App Developer (Android)
Python,HTML/CSS,Java,,,,None,Cybersecurity Analyst
JavaScript,Java,,Swift,C/C++,Kotlin,None,Mobile App Developer (iOS)
Python,C/C++,,,,,None,Cybersecurity Analyst
C/C++,C#,Swift,SQL,,,None,Mobile App Developer (iOS)
C#,HTML/CSS,,,,,None,Game Developer
JavaScript,SQL,,C#,,,None,Database Administrator
C#,C/C++,SQL,,,Swift,None,Mobile App Developer (iOS)
Python,SQL,,Kotlin,,C/C++,None,Mobile App Developer (Android)
Java,Python,,,Swift,,None,Mobile App Developer (iOS)
JavaScript,HTML/CSS,,,,C/C++,React,Front-End Developer
Java,Python,JavaScript,HTML/CSS,,,None,Mobile App Developer (Android)
Java,C#,JavaScript,SQL,Python,PHP,None,Mobile App Developer (Android)
Java,Kotlin,PHP,,,SQL,None,Mobile App Developer (Android)
C#,HTML/CSS,Java,,,Kotlin,React,Mobile App Developer (Android)
C#,C/C++,,,,Python,None,Game Developer
C#,PHP,HTML/CSS,,C/C++,,None,Game Developer
C/C++,HTML/CSS,Swift,Java,,,None,Mobile App Developer (iOS)
Java,JavaScript,,SQL,C#,,React,Mobile App Developer (Android)
JavaScript,Python,,Kotlin,,Swift,None,Mobile App Developer (iOS)
Java,,,,Kotlin,JavaScript,None,Mobile App Developer (Android)
JavaScript,Kotlin,C#,,HTML/CSS,Swift,None,Mobile App Developer (iOS)
C/C++,Python,,HTML/CSS,,,None,Game Developer
Python,JavaScript,,Java,,,None,Cybersecurity Analyst
C/C++,Python,,,,,None,Game Developer
Python,,PHP,,Java,,None,Cybersecurity Analyst
Java,,,,PHP,,React,Mobile App Developer (Android)
C#,,,,,,None,Game Developer
JavaScript,C/C++,,Java,SQL,,None,Database Administrator
C/C++,Python,HTML/CSS,Swift,,Kotlin,React,Mobile App Developer (iOS)
C#,HTML/CSS,Kotlin,,,C/C++,React,Mobile App Developer (Android)
C#,Kotlin,SQL,,,Python,None,Mobile App Developer (Android)
C/C++,SQL,,JavaScript,,,None,Database Administrator
Python,HTML/CSS,Kotlin,,SQL,,None,Mobile App Developer (Android)
C/C++,Kotlin,JavaScript,,PHP,Java,None,Mobile App Developer (Android)
JavaScript,Kotlin,,PHP,,,None,Mobile App Developer (Android)
C#,SQL,,PHP,Java,,None,Database Administrator
JavaScript,Java,,,,Python,React,Front-End Developer
Java,SQL,,Kotlin,,,React,Mobile App Developer (Android)
Java,Swift,Kotlin,C#,HTML/CSS,C/C++,None,Mobile App Developer (iOS)
Java,HTML/CSS,Python,SQL,C/C++,,None,Mobile App Developer (Android)
C#,JavaScript,Python,C/C++,Swift,PHP,None,Mobile App Developer (iOS)
C#,Python,,,,,None,Game Developer
C/C++,PHP,,,,,None,Game Developer
C#,Swift,,,,,React,Mobile App Developer (iOS)
Python,C/C++,JavaScript,,,,None,Cybersecurity Analyst
JavaScript,PHP,,C#,Kotlin,SQL,None,Mobile App Developer (Android)
JavaScript,PHP,Python,,SQL,C#,None,Database Administrator
Java,Kotlin,Python,HTML/CSS,,,React,Mobile App Developer (Android)
JavaScript,Kotlin,,PHP,,C#,None,Mobile App Developer (Android)
Java,JavaScript,Swift,C#,,,None,Mobile App Developer (iOS)
Java,Swift,,,,,React,Mobile App Developer (iOS)
C#,Kotlin,,,HTML/CSS,Swift,None,Mobile App Developer (iOS)
C#,Python,,,,JavaScript,None,Game Developer
C/C++,PHP,JavaScript,,,Kotlin,React,Mobile App Developer (Android)
Java,Kotlin,Python,SQL,,,React,Mobile App Developer (Android)
Java,HTML/CSS,,,,,React,Mobile App Developer (Android)
JavaScript,Python,,,SQL,C#,None,Database Administrator
JavaScript,C#,,,,Kotlin,React,Mobile App Developer (Android)
Java,Python,,,,,None,Mobile App Developer (Android)
C/C++,JavaScript,,Python,SQL,,None,Database Administrator
Java,Kotlin,SQL,,,,None,Mobile App Developer (Android)
C#,C/C++,HTML/CSS,Java,Kotlin,,None,Mobile App Developer (Android)
C#,Java,Python,,,,None,Game Developer
Python,C#,,,,Swift,None,Mobile App Developer (iOS)
C#,Kotlin,JavaScript,PHP,,,None,Mobile App Developer (Android)
Java,Python,,,Swift,Kotlin,None,Mobile App Developer (iOS)
C#,Swift,,,,PHP,None,Mobile App Developer (iOS)
C/C++,PHP,,,,JavaScript,None,Game Developer
C/C++,PHP,Kotlin,,,SQL,None,Mobile App Developer (Android)
Python,C/C++,,,,,None,Cybersecurity Analyst
Python,C#,Kotlin,,,,React,Mobile App Developer (Android)
Python,SQL,,,HTML/CSS,Swift,None,Mobile App Developer (iOS)
C/C++,,,,,,None,Game Developer
Python,JavaScript,,,PHP,C/C++,None,Cybersecurity Analyst
JavaScript,HTML/CSS,Python,,,Kotlin,React,Mobile App Developer (Android)
Python,JavaScript,,HTML/CSS,PHP,,None,Cybersecurity Analyst
C/C++,,,,,,None,Game Developer
Java,,,,,,None,Mobile App Developer (Android)
Python,Swift,JavaScript,,,,None,Mobile App Developer (iOS)
Java,C#,Swift,,PHP,Kotlin,React,Mobile App Developer (iOS)
C/C++,PHP,C#,,Swift,,None,Mobile App Developer (iOS)
C/C++,Kotlin,C#,,,,None,Mobile App Developer (Android)
C/C++,Kotlin,,,,Java,None,Mobile App Developer (Android)
JavaScript,Python,,Java,,PHP,None,Front-End Developer
Java,JavaScript,C#,,PHP,Python,None,Mobile App Developer (Android)
C/C++,SQL,Python,HTML/CSS,Kotlin,JavaScript,None,Mobile App Developer (Android)
Python,Java,,,C/C++,,None,Cybersecurity Analyst
C/C++,C#,Swift,,,,React,Mobile App Developer (iOS)
Python,C#,,,,SQL,None,Database Administrator
Python,Java,JavaScript,,C#,,None,Cybersecurity Analyst
C#,JavaScript,,Kotlin,,Java,None,Mobile App Developer (Android)
JavaScript,Java,,Kotlin,,,None,Mobile App Developer (Android)
Java,HTML/CSS,,Swift,,,React,Mobile App Developer (iOS)
Java,Kotlin,,,,,React,Mobile App Developer (Android)
C/C++,,,,Swift,,None,Mobile App Developer (iOS)
C/C++,Python,,,,,None,Game Developer
C/C++,HTML/CSS,Swift,,PHP,,None,Mobile App Developer (iOS)
Java,JavaScript,Swift,,,,None,Mobile App Developer (iOS)
JavaScript,,,C#,,Java,None,Front-End Developer
JavaScript,SQL,,,HTML/CSS,,None,Database Administrator
C/C++,Python,HTML/CSS,,SQL,,None,Database Administrator
C#,SQL,,Java,JavaScript,Swift,None,Mobile App Developer (iOS)
JavaScript,Swift,,C/C++,Kotlin,HTML/CSS,React,Mobile App Developer (iOS)
Python,,,HTML/CSS,C#,,None,Cybersecurity Analyst
Python,Java,JavaScript,SQL,HTML/CSS,,None,Database Administrator
JavaScript,,,,Java,,None,Front-End Developer
JavaScript,PHP,HTML/CSS,,,,None,Front-End Developer
JavaScript,PHP,,,Python,HTML/CSS,React,Front-End Developer
C/C++,Java,,Swift,,PHP,None,Mobile App Developer (iOS)
Java,C#,,,,,React,Mobile App Developer (Android)
Java,PHP,HTML/CSS,JavaScript,,C#,None,Mobile App Developer (Android)
Python,C#,,,,,None,Cybersecurity Analyst
C#,PHP,,,JavaScript,,None,Game Developer
C#,Kotlin,Java,HTML/CSS,SQL,,None,Mobile App Developer (Android)
C/C++,Python,,,Kotlin,Java,None,Mobile App Developer (Android)
Java,JavaScript,Swift,,Kotlin,C/C++,React,Mobile App Developer (iOS)
C/C++,Kotlin,,,Python,,None,Mobile App Developer (Android)
C#,Python,Swift,,,,React,Mobile App Developer (iOS)
C/C++,SQL,JavaScript,,,,None,Database Administrator
C#,HTML/CSS,,,Java,Kotlin,None,Mobile App Developer (Android)
Java,Python,,Swift,,,React,Mobile App Developer (iOS)
C/C++,Java,,JavaScript,,Python,None,Game Developer
Java,JavaScript,,PHP,,Python,React,Mobile App Developer (Android)
C/C++,HTML/CSS,PHP,,Kotlin,,None,Mobile App Developer (Android)
Java,SQL,,C#,,,None,Mobile App Developer (Android)
Python,JavaScript,PHP,Java,SQL,,None,Database Administrator
JavaScript,C/C++,,SQL,,,None,Database Administrator
C#,HTML/CSS,,,,,None,Game Developer
JavaScript,C/C++,SQL,PHP,,,None,Database Administrator
C/C++,PHP,JavaScript,,,SQL,None,Database Administrator
Python,SQL,,,,,None,Database Administrator
Java,Swift,,,,,None,Mobile App Developer (iOS)
Python,JavaScript,,,,C/C++,None,Cybersecurity Analyst
Java,HTML/CSS,Python,,,,None,Mobile App Developer (Android)
C#,C/C++,,Kotlin,JavaScript,,React,Mobile App Developer (Android)
C#,Kotlin,,,,,None,Mobile App Developer (Android)
JavaScript,C#,Java,,Python,Kotlin,React,Mobile App Developer (Android)
C/C++,HTML/CSS,,,PHP,SQL,None,Database Administrator
JavaScript,Python,,Kotlin,,,None,Mobile App Developer (Android)
JavaScript,Python,,,,,React,Front-End Developer
C/C++,JavaScript,C#,,Java,,None,Game Developer
JavaScript,HTML/CSS,Kotlin,Java,,Python,None,Mobile App Developer (Android)
C#,C/C++,,,HTML/CSS,Swift,None,Mobile App Developer (iOS)
C#,Java,,,,,None,Game Developer
JavaScript,Kotlin,,,,,React,Mobile App Developer (Android)
Python,C/C++,,HTML/CSS,,PHP,None,Cybersecurity Analyst
C#,JavaScript,,,,HTML/CSS,None,Game Developer
Python,Swift,PHP,C/C++,SQL,,React,Mobile App Developer (iOS)
C/C++,JavaScript,Swift,,C#,,React,Mobile App Developer (iOS)
Python,Java,HTML/CSS,PHP,,,None,Cybersecurity Analyst
Java,HTML/CSS,,,,Python,None,Mobile App Developer (Android)
Java,,,,,,None,Mobile App Developer (Android)
Java,Kotlin,,,,,None,Mobile App Developer (Android)
Python,C/C++,,,JavaScript,HTML/CSS,None,Cybersecurity Analyst
Python,JavaScript,,,,C/C++,None,Cybersecurity Analyst
JavaScript,C#,C/C++,SQL,,Java,None,Database Administrator
C#,Kotlin,SQL,,C/C++,,React,Mobile App Developer (Android)
JavaScript,Swift,,PHP,,,None,Mobile App Developer (iOS)
JavaScript,C#,Java,,SQL,Kotlin,None,Mobile App Developer (Android)
C#,Kotlin,HTML/CSS,Java,,SQL,None,Mobile App Developer (Android)
C/C++,Swift,,Kotlin,HTML/CSS,,None,Mobile App Developer (iOS)
JavaScript,PHP,Java,,,,None,Front-End Developer
C/C++,,C#,,,,None,Game Developer
C#,Swift,,,,,React,Mobile App Developer (iOS)
JavaScript,SQL,Java,,C#,Python,None,Database Administrator
Python,Swift,C/C++,,SQL,,None,Mobile App Developer (iOS)
C#,JavaScript,Swift,,,,React,Mobile App Developer (iOS)
Java,JavaScript,C#,,PHP,,None,Mobile App Developer (Android)
C#,PHP,,,C/C++,,None,Game Developer
C#,Java,,,Swift,,None,Mobile App Developer (iOS)
Python,Kotlin,C#,,,,None,Mobile App Developer (Android)
Python,JavaScript,,,,SQL,None,Database Administrator
Python,,Swift,,,,None,Mobile App Developer (iOS)
JavaScript,PHP,,Java,Swift,,React,Mobile App Developer (iOS)
C#,HTML/CSS,,,,C/C++,None,Game Developer
C/C++,SQL,Kotlin,,Python,C#,None,Mobile App Developer (Android)
C#,Java,C/C++,,JavaScript,PHP,None,Game Developer
C/C++,HTML/CSS,,,SQL,PHP,None,Database Administrator
JavaScript,C#,Java,SQL,,Python,None,Database Administrator
C#,,JavaScript,,,Python,None,Game Developer
JavaScript,,,,,,None,Front-End Developer
C/C++,C#,JavaScript,,Kotlin,,None,Mobile App Developer (Android)
C#,Python,PHP,,SQL,,None,Database Administrator
Java,SQL,,,,PHP,None,Mobile App Developer (Android)
C/C++,Java,,C#,,,None,Game Developer
JavaScript,Python,PHP,HTML/CSS,Kotlin,Swift,React,Mobile App Developer (iOS)
C/C++,PHP,,C#,SQL,Java,None,Database Administrator
Python,C#,,HTML/CSS,,,None,Cybersecurity Analyst
Java,SQL,,,,Kotlin,React,Mobile App Developer (Android)
JavaScript,HTML/CSS,,Python,,,React,Front-End Developer
JavaScript,,,,C/C++,,None,Front-End Developer
Java,Swift,,JavaScript,,,React,Mobile App Developer (iOS)
JavaScript,C#,,C/C++,Kotlin,,None,Mobile App Developer (Android)
JavaScript,C#,,Python,,,React,Front-End Developer
Java,Kotlin,,,JavaScript,Swift,None,Mobile App Developer (iOS)
C/C++,Java,Kotlin,,JavaScript,C#,None,Mobile App Developer (Android)
C/C++,Swift,,,,C#,None,Mobile App Developer (iOS)
Python,Swift,,,,,None,Mobile App Developer (iOS)
C/C++,C#,Swift,,PHP,,None,Mobile App Developer (iOS)
C#,Java,PHP,,,,None,Game Developer
Python,,HTML/CSS,,Swift,JavaScript,React,Mobile App Developer (iOS)
C/C++,HTML/CSS,JavaScript,Kotlin,,,None,Mobile App Developer (Android)
C/C++,C#,HTML/CSS,Kotlin,,,None,Mobile App Developer (Android)
Python,PHP,,,,,None,Cybersecurity Analyst
C#,C/C++,,,SQL,Java,None,Database Administrator
C/C++,Swift,JavaScript,PHP,C#,,React,Mobile App Developer (iOS)
JavaScript,C#,Java,HTML/CSS,PHP,,React,Front-End Developer
JavaScript,PHP,,Kotlin,Java,,React,Mobile App Developer (Android)
Java,PHP,C#,Python,Kotlin,,None,Mobile App Developer (Android)
C/C++,C#,Python,HTML/CSS,Java,,None,Game Developer
Java,Kotlin,,,,,None,Mobile App Developer (Android)
C#,C/C++,JavaScript,,,Swift,React,Mobile App Developer (iOS)
C/C++,C#,JavaScript,Java,,Swift,React,Mobile App Developer (iOS)
JavaScript,Swift,,,,,None,Mobile App Developer (iOS)
JavaScript,C/C++,,,,C#,React,Front-End Developer
C#,JavaScript,,,,,None,Game Developer
JavaScript,PHP,,,,,None,Front-End Developer
Python,,PHP,,Swift,,None,Mobile App Developer (iOS)
Java,C#,JavaScript,,,Python,React,Mobile App Developer (Android)
JavaScript,Kotlin,,,,HTML/CSS,React,Mobile App Developer (Android)
JavaScript,Kotlin,,,,,React,Mobile App Developer (Android)
C#,JavaScript,,HTML/CSS,Java,,None,Game Developer
JavaScript,Kotlin,,,Swift,,None,Mobile App Developer (iOS)
Python,C/C++,C#,PHP,,SQL,None,Database Administrator
Java,C/C++,Swift,C#,,Python,None,Mobile App Developer (iOS)
C/C++,JavaScript,,,Kotlin,SQL,React,Mobile App Developer (Android)
Java,Kotlin,PHP,,Python,,None,Mobile App Developer (Android)
JavaScript,Java,,Swift,,Kotlin,None,Mobile App Developer (iOS)
C#,SQL,,C/C++,Java,,None,Database Administrator
JavaScript,C#,C/C++,SQL,Kotlin,,React,Mobile App Developer (Android)
C#,SQL,,,Python,,None,Database Administrator
C/C++,PHP,C#,,HTML/CSS,,None,Game Developer
C/C++,PHP,Java,C#,,,None,Game Developer
Python,JavaScript,Java,PHP,Kotlin,,None,Mobile App Developer (Android)
C/C++,Kotlin,,,,,None,Mobile App Developer (Android)
C#,Swift,Kotlin,PHP,,,React,Mobile App Developer (iOS)
C#,HTML/CSS,,,Java,,None,Game Developer
C#,SQL,,Kotlin,,,None,Mobile App Developer (Android)
C#,PHP,,HTML/CSS,Python,,None,Game Developer
C#,JavaScript,,SQL,Swift,HTML/CSS,React,Mobile App Developer (iOS)
Python,Swift,Kotlin,,C#,,React,Mobile App Developer (iOS)
Java,,PHP,HTML/CSS,C/C++,,React,Mobile App Developer (Android)
C/C++,Java,,Swift,C#,,None,Mobile App Developer (iOS)
C/C++,HTML/CSS,,,,PHP,None,Game Developer
C#,PHP,,HTML/CSS,Kotlin,,None,Mobile App Developer (Android)
Java,Python,,,,C#,None,Mobile App Developer (Android)
C/C++,JavaScript,C#,,,,None,Game Developer
Python,C/C++,Java,,,,None,Cybersecurity Analyst
JavaScript,HTML/CSS,,,,,None,Front-End Developer
Java,HTML/CSS,,,SQL,,None,Mobile App Developer (Android)
Java,C/C++,,Kotlin,,,None,Mobile App Developer (Android)
C/C++,PHP,,,,,None,Game Developer
JavaScript,SQL,C/C++,,,PHP,None,Database Administrator
Java,JavaScript,C#,C/C++,Kotlin,PHP,None,Mobile App Developer (Android)
Python,C/C++,HTML/CSS,C#,,Kotlin,None,Mobile App Developer (Android)
C#,SQL,,,,Java,None,Database Administrator
C#,Java,,,,,None,Game Developer
C/C++,Swift,,,Kotlin,,None,Mobile App Developer (iOS)
JavaScript,SQL,,PHP,,,None,Database Administrator
JavaScript,PHP,C/C++,C#,Swift,,None,Mobile App Developer (iOS)
Python,HTML/CSS,,Java,,,None,Cybersecurity Analyst
C#,Swift,,JavaScript,SQL,C/C++,React,Mobile App Developer (iOS)
JavaScript,Kotlin,C/C++,,,Swift,None,Mobile App Developer (iOS)
C/C++,HTML/CSS,Java,,,C#,None,Game Developer
Java,HTML/CSS,,,,C#,None,Mobile App Developer (Android)
C#,Java,Swift,,,C/C++,None,Mobile App Developer (iOS)
JavaScript,PHP,,,,,React,Front-End Developer
C/C++,HTML/CSS,JavaScript,,Swift,,React,Mobile App Developer (iOS)
Python,C/C++,HTML/CSS,Java,,,None,Cybersecurity Analyst
JavaScript,C/C++,,C#,Java,,None,Front-End Developer
JavaScript,C/C++,,,,Kotlin,React,Mobile App Developer (Android)
C#,JavaScript,,,,,None,Game Developer
C/C++,Python,,HTML/CSS,,,None,Game Developer
JavaScript,,,,,,React,Front-End Developer
Java,Swift,,,,HTML/CSS,None,Mobile App Developer (iOS)
Java,Python,,,,,None,Mobile App Developer (Android)
C#,Swift,,,HTML/CSS,,None,Mobile App Developer (iOS)
Java,,C#,,,,None,Mobile App Developer (Android)
Java,Python,,SQL,,,None,Mobile App Developer (Android)
JavaScript,Python,Swift,HTML/CSS,PHP,,None,Mobile App Developer (iOS)
JavaScript,C/C++,,,Kotlin,C#,React,Mobile App Developer (Android)
Java,Python,,,Swift,PHP,None,Mobile App Developer (iOS)
C#,,HTML/CSS,C/C++,,Java,None,Game Developer
Python,C#,Kotlin,,Swift,,None,Mobile App Developer (iOS)
C#,Swift,,,Java,,None,Mobile App Developer (iOS)
Python,C#,JavaScript,PHP,HTML/CSS,,None,Cybersecurity Analyst
Java,PHP,,SQL,,JavaScript,None,Mobile App Developer (Android)
C/C++,PHP,Swift,,,Kotlin,None,Mobile App Developer (iOS)
Python,PHP,,Swift,,,React,Mobile App Developer (iOS)
C#,C/C++,Java,PHP,JavaScript,,None,Game Developer
C/C++,Kotlin,,,,,None,Mobile App Developer (Android)
C#,Kotlin,HTML/CSS,SQL,,,None,Mobile App Developer (Android)
C#,,,Kotlin,,HTML/CSS,None,Mobile App Developer (Android)
C/C++,Swift,,,HTML/CSS,,None,Mobile App Developer (iOS)
Python,Java,C#,HTML/CSS,,,None,Cybersecurity Analyst
